Control,Échantillon,Total LP R1,Total HP R1,Total D4-HP R1,Total DES R1,Total D4-DES R1,Libre LP R1,Libre HP R1,Libre D4-HP R1,Libre DES R1,Libre D4-DES R1,Total LP R2,Total HP R2,Total D4-HP R2,Total DES R2,Total D4-DES R2,Libre LP R2,Libre HP R2,Libre D4-HP R2,Libre DES R2,Libre D4-DES R2
1,CTRL DES-HP 1,,4.33E+02,1.42E+03,0.00E+00,1.60E+02,,1312,7230,0,331,,7.27E+03,3.57E+04,1.09E+03,6.57E+03,,845,8278,0,724
1,CTRL DES-HP 2,,2.07E+03,8.31E+04,2.59E+02,6.60E+03,,1039,3395,0,405,,3.02E+03,9.13E+04,4.01E+02,8.06E+03,,1097,4969,0,486
2,CTRL DES-HP 1,,1.31E+04,1.86E+05,0.00E+00,5.49E+04,,9684,152232,1385,28773,,6.17E+03,9.59E+04,0.00E+00,4.14E+04,,9277,145486,1078,24998
2,CTRL DES-HP 2,,2.62E+04,3.68E+05,0.00E+00,1.19E+05,,8992,114362,1172,10823,,2.46E+04,3.68E+05,0.00E+00,1.43E+05,,7946,106766,1378,10970
3,CTRL DES-HP 1,,6.47E+04,4.31E+06,3.42E+03,2.27E+05,,66133,4718785,0,311211,,6.40E+04,4.27E+06,3.49E+03,2.33E+05,,67413,4457400,0,296858
3,CTRL DES-HP 2,,5.80E+04,4.80E+06,3.04E+03,2.28E+05,,61546,4157853,0,381572,,5.99E+04,4.42E+06,2.98E+03,2.20E+05,,64713,4131710,3133,381953
4,CTRL DES-HP 1,,51819,2194751,2338,143597,,,,,,,40217,1573438,1153,96880,,93596,3518890,3916,116635
4,CTRL DES-HP 2,,34035,1356729,0,41327,,61910,4076320,0,114476,,29085,1144577,0,34761,,74309,5350920,0,130853
5,CTRL DES-HP 1,9568,49548,66226,1745,11367,7339,98564,4185823,0,21419,8705,51149,62735,0,10808,7362,102764,4219508,2879,22107
5,CTRL DES-HP 2,8541,51918,43240,2411,7235,10329,116353,5237178,2215,44332,10009,50807,46621,1381,8064,10133,114955,5091013,2550,43220
